	number	user_login	created_at	closed_at	merged_at	title
191	263	mengqiy	2018-02-07 01:02:55	2018-02-07 01:15:44	2018-02-07 01:15:44	fix wrong paths of name reference transformer config
192	262	droot	2018-02-07 00:49:43	2018-02-07 18:20:45	2018-02-07 18:20:45	kinflate: implemented 'add' subcommand
193	261	monopole	2018-02-06 23:34:21	2018-02-06 23:35:40	2018-02-06 23:35:40	add short and longer demo
194	260	Liujingfang1	2018-02-06 23:06:28	2018-02-06 23:26:56	2018-02-06 23:26:56	Change command setprefixname to setnameprefix
195	259	seans3	2018-02-06 19:57:02	2018-02-06 23:40:45	2018-02-06 23:40:45	Kinflate add secret tls command.
196	258	apelisse	2018-02-06 19:50:24	2018-03-19 22:43:22		Unstruct package framework for json/yaml manipulation
197	257	seans3	2018-02-06 18:34:10	2018-02-06 19:44:17	2018-02-06 19:44:17	Kinflate add generic secret command.
198	256	droot	2018-02-06 00:24:52	2018-02-06 04:12:08	2018-02-06 04:12:08	Add configmap
199	255	monopole	2018-02-05 23:44:36	2018-02-06 00:20:03	2018-02-06 00:20:03	tweakREADME
200	254	monopole	2018-02-05 22:04:05	2018-02-05 22:31:58	2018-02-05 22:31:58	modifyREADME
201	253	monopole	2018-02-05 21:27:13	2018-02-05 21:31:06	2018-02-05 21:31:06	add setprefixname command
202	252	seans3	2018-02-05 18:59:58	2018-02-08 18:29:52		WIP: Kinflate addConfigMap
203	251	hangyan	2018-02-05 09:32:55	2018-02-05 17:37:12	2018-02-05 17:37:12	Fix typo in function name and comment
204	249	mengqiy	2018-02-03 00:46:53	2018-02-05 17:28:12	2018-02-05 17:28:12	fix a bug of nameprefix lost after applying patch
205	247	mengqiy	2018-02-02 21:35:31	2018-02-03 00:00:08	2018-02-03 00:00:08	All Run functions should not depend on Cobra
206	246	mengqiy	2018-02-02 20:59:38	2018-02-02 21:00:41		register addResource
207	245	monopole	2018-02-02 20:46:24	2018-02-02 20:58:05	2018-02-02 20:58:05	add missing command
208	244	mengqiy	2018-02-02 17:44:44	2018-02-02 18:05:12	2018-02-02 18:05:12	add a constructor for multitransformer
209	243	mengqiy	2018-02-02 01:12:58	2018-02-02 17:00:13	2018-02-02 17:00:13	restructure the code a bit
210	242	droot	2018-02-02 00:09:33	2018-02-06 23:37:07		WIP kinflate add configmap/secret commands
