	number	user_login	created_at	closed_at	merged_at	title	user_company	user_mail	user_orgs
0	number	user_login	created_at	closed_at	merged_at	title	user_company	user_mail	user_orgs
170	435	mengqiy	2018-04-11 22:21:55	2018-04-13 00:15:59	2018-04-13 00:15:59	Update vendor and related hash func	@google 	@google.com	google
171	419	mengqiy	2018-04-10 18:18:44	2018-04-10 22:42:55	2018-04-10 22:42:55	swtich to depend on the scheme in client-go	@google 	@google.com	google
172	409	mengqiy	2018-04-06 17:05:00	2018-04-06 17:45:09	2018-04-06 17:45:09	update vendor apimachinery	@google 	@google.com	google
173	377	mengqiy	2018-03-27 00:54:09	2018-03-28 19:26:05	2018-03-28 19:26:05	detect unknown fields in Kube-manifest.yaml	@google 	@google.com	google
174	375	mengqiy	2018-03-23 22:21:50	2018-04-09 22:28:09	2018-04-09 22:28:09	Conflict detection in kinflate	@google 	@google.com	google
175	372	mengqiy	2018-03-23 17:20:54	2018-03-23 18:07:04	2018-03-23 18:07:04	update vendor apimachinery	@google 	@google.com	google
176	370	mengqiy	2018-03-22 21:10:33	2018-03-23 15:41:02	2018-03-23 15:41:02	support multiple patches for the same GVKN	@google 	@google.com	google
177	366	mengqiy	2018-03-22 00:22:45	2018-07-31 18:37:56		Integrate openapi	@google 	@google.com	google
178	352	mengqiy	2018-03-12 22:53:55	2018-03-12 23:54:10	2018-03-12 23:54:10	fix bug when update name ref in multi layer setup	@google 	@google.com	google
179	350	mengqiy	2018-03-12 19:26:45	2018-03-12 22:08:11	2018-03-12 22:08:11	cleanup Resouce slice related code	@google 	@google.com	google
180	349	mengqiy	2018-03-10 00:37:41	2018-03-10 00:51:13	2018-03-10 00:51:13	Rename KObject to ResourceCollection	@google 	@google.com	google
181	344	mengqiy	2018-03-08 01:57:26	2018-03-08 22:01:13	2018-03-08 22:01:13	appending name hash only applies to current layer	@google 	@google.com	google
182	340	mengqiy	2018-03-06 01:56:59	2018-03-06 18:37:54	2018-03-06 18:37:54	fall back to JSON merge patch for types w/o schema (CRD)	@google 	@google.com	google
183	331	mengqiy	2018-03-01 01:27:24	2018-03-01 22:13:30	2018-03-01 22:13:30	update resource package	@google 	@google.com	google
184	322	mengqiy	2018-02-26 21:52:25	2018-03-02 20:40:52	2018-03-02 20:40:52	implement Resources func for applicationImpl	@google 	@google.com	google
185	310	mengqiy	2018-02-21 22:38:26	2018-02-22 16:34:40	2018-02-22 16:34:40	update yaml import pkg	@google 	@google.com	google
186	307	mengqiy	2018-02-21 02:09:26	2018-02-21 02:28:14	2018-02-21 02:28:14	initial implementation for file loader	@google 	@google.com	google
187	299	mengqiy	2018-02-16 18:38:38	2018-02-16 19:42:39	2018-02-16 19:42:39	better integration test	@google 	@google.com	google
188	292	mengqiy	2018-02-15 00:18:19	2018-02-21 19:20:40	2018-02-21 19:20:40	add kinflate diff command	@google 	@google.com	google
